month,platform,n_trips,mode_bin,bunching_pct,mean_pay,mean_ratio,mean_miles,mean_min
2024-01,Lyft,4946640,0.97,69.868,16.2155,1.0907,4.1536,17.357
2024-01,Uber,13049310,0.96,52.183,17.3065,1.1373,4.3628,17.7868
2024-02,Lyft,4657272,0.97,66.901,16.8353,1.083,4.2711,18.1871
2024-02,Uber,13017209,0.96,53.131,18.1252,1.1724,4.4298,18.3592
2024-03,Lyft,5340921,1.0,69.271,18.0138,1.1162,4.4239,18.906
2024-03,Uber,14113222,1.0,56.59,18.286,1.1532,4.391,18.6838
2024-04,Lyft,4712054,1.0,70.184,18.4909,1.1161,4.5665,19.3176
2024-04,Uber,13277922,1.0,61.135,18.3587,1.1477,4.4247,18.7421
2024-05,Lyft,4835396,1.0,73.012,19.1194,1.0953,4.6658,20.4145
2024-05,Uber,14033309,1.0,58.392,19.349,1.1626,4.4966,19.8513
2024-06,Lyft,4655588,1.0,71.487,18.5621,1.1025,4.5152,19.6923
2024-06,Uber,13694103,1.0,55.967,19.3064,1.1679,4.5499,19.5111
2024-07,Lyft,4547826,1.0,70.741,17.7583,1.1048,4.4257,18.6073
2024-07,Uber,12963851,1.0,62.94,18.3923,1.1367,4.5674,18.6397
2024-08,Lyft,4715891,1.0,68.146,17.9668,1.1073,4.4981,18.7299
2024-08,Uber,12719564,1.0,63.596,18.6412,1.1535,4.5811,18.7621
2024-09,Lyft,4309530,1.0,63.362,18.7502,1.1191,4.4311,19.8473
2024-09,Uber,13208564,1.0,53.818,19.8966,1.172,4.5966,20.2777
2024-10,Lyft,4574405,1.0,65.799,18.8399,1.1093,4.5035,19.8969
2024-10,Uber,13727976,1.0,51.695,19.4033,1.1679,4.5492,19.6729
2024-11,Lyft,4598317,1.0,62.55,17.7624,1.1179,4.1508,18.787
2024-11,Uber,13680266,1.0,48.722,19.5096,1.204,4.5267,19.381
2024-12,Lyft,4856676,1.0,58.985,17.9862,1.1521,4.0844,18.8209
2024-12,Uber,14198646,1.0,39.548,20.4634,1.2727,4.5267,19.5116
2025-01,Lyft,4858691,1.0,65.717,16.6772,1.1157,4.0855,17.2749
2025-01,Uber,13872347,1.0,55.951,17.6886,1.1566,4.3858,17.3775
2025-02,Lyft,4748646,1.0,69.209,17.2389,1.0847,4.2336,18.0601
2025-02,Uber,13071301,1.0,59.931,18.0759,1.1508,4.4064,17.9369
2025-03,Lyft,5713566,1.04,73.044,18.5413,1.1206,4.46,18.7294
2025-03,Uber,13277414,1.03,51.378,19.0815,1.2084,4.4412,18.1082
2025-04,Lyft,5154997,1.04,77.591,18.553,1.1053,4.4306,19.0289
2025-04,Uber,13162604,1.03,60.473,18.9437,1.1645,4.4339,18.515
2025-05,Lyft,5792840,1.04,67.954,19.2284,1.1397,4.3827,19.6623
2025-05,Uber,13683696,1.03,50.614,20.4262,1.2187,4.5069,19.6402
2025-06,Lyft,5454119,1.04,70.589,18.5562,1.1369,4.2714,18.9262
2025-06,Uber,12835552,1.03,46.13,20.5989,1.2391,4.5791,19.3804
2025-07,Lyft,5250628,1.04,76.09,18.1706,1.1161,4.3127,18.5445
2025-07,Uber,12847963,1.03,58.898,19.4743,1.1822,4.5428,18.7544
2025-08,Lyft,5269989,1.07,55.334,18.4328,1.1197,4.4257,18.5889
2025-08,Uber,12339360,1.06,44.959,19.5159,1.1755,4.6205,18.7018
2025-09,Lyft,5128699,1.07,51.226,19.3463,1.1365,4.4037,19.689
2025-09,Uber,12853301,1.06,40.853,20.7704,1.2106,4.5587,20.001
2025-10,Lyft,5530272,1.07,51.516,19.3447,1.1391,4.3676,19.7508
2025-10,Uber,14275269,1.06,42.152,20.2931,1.1947,4.4958,19.7312
2025-11,Lyft,5622965,1.07,50.831,19.0774,1.1472,4.354,19.2536
2025-11,Uber,13786397,1.06,41.559,19.889,1.2073,4.4241,19.0857
2025-12,Lyft,5827159,1.07,47.217,18.503,1.1671,4.076,18.7014
2025-12,Uber,14829389,1.06,36.548,20.3125,1.2542,4.3363,19.1013
2026-01,Lyft,5401593,1.07,47.669,17.7361,1.1779,3.9653,17.7406
2026-01,Uber,14179994,1.07,41.095,18.8624,1.2239,4.1836,17.9639
2026-02,Lyft,5478908,1.07,40.808,17.8504,1.2166,3.7557,17.8259
2026-02,Uber,13180029,1.07,36.199,19.728,1.239,4.2764,18.7919
