month,platform,bin,n,pct
2025-07,Lyft,0.99,4,0.0001
2025-07,Lyft,1.0,32,0.0007
2025-07,Lyft,1.01,154,0.0031
2025-07,Lyft,1.02,277,0.0056
2025-07,Lyft,1.03,360,0.0073
2025-07,Lyft,1.04,3982423,81.1547
2025-07,Lyft,1.05,11995,0.2444
2025-07,Lyft,1.06,23680,0.4826
2025-07,Lyft,1.07,36683,0.7475
2025-07,Lyft,1.08,38095,0.7763
2025-07,Lyft,1.09,43569,0.8879
2025-07,Lyft,1.1,52433,1.0685
2025-07,Lyft,1.11,61412,1.2515
2025-07,Lyft,1.12,63518,1.2944
2025-07,Lyft,1.13,57220,1.166
2025-07,Lyft,1.14,184766,3.7652
2025-07,Lyft,1.15,41096,0.8375
2025-07,Lyft,1.16,36745,0.7488
2025-07,Lyft,1.17,32426,0.6608
2025-07,Lyft,1.18,27411,0.5586
2025-07,Lyft,1.19,22733,0.4633
2025-07,Lyft,1.2,19754,0.4026
2025-07,Lyft,1.21,17514,0.3569
2025-07,Lyft,1.22,15561,0.3171
2025-07,Lyft,1.23,14427,0.294
2025-07,Lyft,1.24,13611,0.2774
2025-07,Lyft,1.25,13099,0.2669
2025-07,Lyft,1.26,12270,0.25
2025-07,Lyft,1.27,11681,0.238
2025-07,Lyft,1.28,11267,0.2296
2025-07,Lyft,1.29,11060,0.2254
2025-07,Lyft,1.3,10608,0.2162
2025-07,Lyft,1.31,10175,0.2073
2025-07,Lyft,1.32,9758,0.1989
2025-07,Lyft,1.33,9660,0.1969
2025-07,Lyft,1.34,9629,0.1962
2025-07,Lyft,1.35,94,0.0019
2025-07,Uber,0.85,265,0.0024
2025-07,Uber,0.86,248,0.0022
2025-07,Uber,0.87,257,0.0023
2025-07,Uber,0.88,242,0.0022
2025-07,Uber,0.89,280,0.0025
2025-07,Uber,0.9,254,0.0023
2025-07,Uber,0.91,204,0.0018
2025-07,Uber,0.92,246,0.0022
2025-07,Uber,0.93,235,0.0021
2025-07,Uber,0.94,227,0.002
2025-07,Uber,0.95,196,0.0017
2025-07,Uber,0.96,203,0.0018
2025-07,Uber,0.97,194,0.0017
2025-07,Uber,0.98,189,0.0017
2025-07,Uber,0.99,229,0.002
2025-07,Uber,1.0,743,0.0066
2025-07,Uber,1.01,2429,0.0217
2025-07,Uber,1.02,4642,0.0414
2025-07,Uber,1.03,7382671,65.8961
2025-07,Uber,1.04,175917,1.5702
2025-07,Uber,1.05,488464,4.3599
2025-07,Uber,1.06,174570,1.5582
2025-07,Uber,1.07,159634,1.4249
2025-07,Uber,1.08,141704,1.2648
2025-07,Uber,1.09,140074,1.2503
2025-07,Uber,1.1,135806,1.2122
2025-07,Uber,1.11,127535,1.1383
2025-07,Uber,1.12,138823,1.2391
2025-07,Uber,1.13,144751,1.292
2025-07,Uber,1.14,151734,1.3543
2025-07,Uber,1.15,158331,1.4132
2025-07,Uber,1.16,158969,1.4189
2025-07,Uber,1.17,159932,1.4275
2025-07,Uber,1.18,154591,1.3798
2025-07,Uber,1.19,143901,1.2844
2025-07,Uber,1.2,132054,1.1787
2025-07,Uber,1.21,118550,1.0582
2025-07,Uber,1.22,104410,0.9319
2025-07,Uber,1.23,91438,0.8162
2025-07,Uber,1.24,81116,0.724
2025-07,Uber,1.25,72244,0.6448
2025-07,Uber,1.26,66061,0.5896
2025-07,Uber,1.27,61307,0.5472
2025-07,Uber,1.28,56641,0.5056
2025-07,Uber,1.29,53188,0.4747
2025-07,Uber,1.3,49550,0.4423
2025-07,Uber,1.31,45970,0.4103
2025-07,Uber,1.32,42944,0.3833
2025-07,Uber,1.33,40481,0.3613
2025-07,Uber,1.34,38507,0.3437
2025-07,Uber,1.35,354,0.0032
2025-08,Lyft,0.97,4,0.0001
2025-08,Lyft,0.98,59,0.0012
2025-08,Lyft,0.99,4339,0.0869
2025-08,Lyft,1.0,36386,0.7284
2025-08,Lyft,1.01,110554,2.2133
2025-08,Lyft,1.02,207894,4.162
2025-08,Lyft,1.03,310617,6.2185
2025-08,Lyft,1.04,421660,8.4416
2025-08,Lyft,1.05,592235,11.8565
2025-08,Lyft,1.06,865749,17.3322
2025-08,Lyft,1.07,910889,18.2359
2025-08,Lyft,1.08,543914,10.8891
2025-08,Lyft,1.09,200951,4.023
2025-08,Lyft,1.1,57770,1.1565
2025-08,Lyft,1.11,19146,0.3833
2025-08,Lyft,1.12,13022,0.2607
2025-08,Lyft,1.13,254963,5.1043
2025-08,Lyft,1.14,227408,4.5527
2025-08,Lyft,1.15,15127,0.3028
2025-08,Lyft,1.16,14293,0.2861
2025-08,Lyft,1.17,14839,0.2971
2025-08,Lyft,1.18,15800,0.3163
2025-08,Lyft,1.19,16534,0.331
2025-08,Lyft,1.2,16675,0.3338
2025-08,Lyft,1.21,15427,0.3088
2025-08,Lyft,1.22,13377,0.2678
2025-08,Lyft,1.23,11113,0.2225
2025-08,Lyft,1.24,9623,0.1927
2025-08,Lyft,1.25,8905,0.1783
2025-08,Lyft,1.26,8513,0.1704
2025-08,Lyft,1.27,8211,0.1644
2025-08,Lyft,1.28,7759,0.1553
2025-08,Lyft,1.29,7470,0.1495
2025-08,Lyft,1.3,7019,0.1405
2025-08,Lyft,1.31,7031,0.1408
2025-08,Lyft,1.32,6654,0.1332
2025-08,Lyft,1.33,6665,0.1334
2025-08,Lyft,1.34,6378,0.1277
2025-08,Lyft,1.35,56,0.0011
2025-08,Uber,0.85,193,0.0018
2025-08,Uber,0.86,180,0.0016
2025-08,Uber,0.87,182,0.0017
2025-08,Uber,0.88,162,0.0015
2025-08,Uber,0.89,148,0.0013
2025-08,Uber,0.9,181,0.0016
2025-08,Uber,0.91,172,0.0016
2025-08,Uber,0.92,151,0.0014
2025-08,Uber,0.93,146,0.0013
2025-08,Uber,0.94,160,0.0015
2025-08,Uber,0.95,141,0.0013
2025-08,Uber,0.96,145,0.0013
2025-08,Uber,0.97,155,0.0014
2025-08,Uber,0.98,587,0.0053
2025-08,Uber,0.99,17879,0.1626
2025-08,Uber,1.0,110755,1.007
2025-08,Uber,1.01,286913,2.6087
2025-08,Uber,1.02,492875,4.4814
2025-08,Uber,1.03,681749,6.1988
2025-08,Uber,1.04,879295,7.9949
2025-08,Uber,1.05,1292759,11.7543
2025-08,Uber,1.06,1819722,16.5457
2025-08,Uber,1.07,1544647,14.0446
2025-08,Uber,1.08,757748,6.8898
2025-08,Uber,1.09,353597,3.2151
2025-08,Uber,1.1,235446,2.1408
2025-08,Uber,1.11,177819,1.6168
2025-08,Uber,1.12,150118,1.3649
2025-08,Uber,1.13,238739,2.1707
2025-08,Uber,1.14,179195,1.6293
2025-08,Uber,1.15,183515,1.6686
2025-08,Uber,1.16,167163,1.5199
2025-08,Uber,1.17,155589,1.4147
2025-08,Uber,1.18,141564,1.2872
2025-08,Uber,1.19,129723,1.1795
2025-08,Uber,1.2,116622,1.0604
2025-08,Uber,1.21,105136,0.9559
2025-08,Uber,1.22,95684,0.87
2025-08,Uber,1.23,86945,0.7905
2025-08,Uber,1.24,78969,0.718
2025-08,Uber,1.25,72382,0.6581
2025-08,Uber,1.26,65555,0.5961
2025-08,Uber,1.27,60410,0.5493
2025-08,Uber,1.28,56436,0.5131
2025-08,Uber,1.29,53295,0.4846
2025-08,Uber,1.3,49157,0.447
2025-08,Uber,1.31,45542,0.4141
2025-08,Uber,1.32,41040,0.3732
2025-08,Uber,1.33,36990,0.3363
2025-08,Uber,1.34,34129,0.3103
2025-08,Uber,1.35,340,0.0031
